User Story,Teammembers,Size,Complexity,Priority,Noftasks,PL,developmenttype,externalhardware,relatedtechnologies,dbms,Requirement Volatility,Effort 
"As a Voter, I want to cast my vote online, so that I can participate in elections.",4,4,3,1,5,Java,Mobile,0,Blockchain,SQL,Medium,5
"As an Admin, I want to manage candidate profiles, so that I can organize the election.",3,3,2,2,4,Java,Mobile,0,Blockchain,SQL,Low,3
"As a Moderator, I want to verify voter identities, so that I can ensure fair elections.",3,2,4,3,3,Java,Mobile,0,Computer Vision,SQL,High,5
"As a Candidate, I want to view election results, so that I can see how I performed.",2,1,1,4,2,Java,Mobile,0,Blockchain,SQL,Low,1
"As a Donor, I want to browse fundraising campaigns, so that I can contribute to causes I care about.",3,3,2,1,4,Python,Web,0,Computer Vision,Firebase,Low,3
"As a Campaign Creator, I want to create a fundraising campaign, so that I can raise funds for my project.",3,4,3,2,5,Python,Web,0,None,Firebase,Medium,3
"As an Admin, I want to manage campaigns, so that I can ensure compliance with platform rules.",3,3,4,3,4,Python,Web,0,None,Firebase,High,5
"As a Donor, I want to track my donations, so that I can see how my contributions are being used.",3,2,2,4,3,Python,Web,0,None,Firebase,Low,2
"As a funding body, I want to be reassured that researchers I fund have robust archival plans for their data, so that I can be sure that funding them is a worthwhile investment.",3,3,3,1,4,Python,Web,0,None,SQL,Medium,3
"As a data reuser, I want to view an example citation for a dataset, so that I can reference it correctly.",2,2,2,2,3,Python,Web,0,None,SQL,Low,2
"As a collection curator, I want to set a date after which data will expire and be deleted or hidden, so that outdated or sensitive data is properly managed.",3,3,4,3,4,Python,Web,0,None,SQL,Medium,5
"As a repository manager, I want to track who is financially responsible for each item in the repository, so that billing and ownership accountability can be maintained.",3,4,3,4,5,Python,Web,0,None,SQL,Medium,5
"As a Digital Records Archivist, I want to batch ingest ETDs received from ProQuest, so that large-scale electronic theses and dissertations can be efficiently added to the repository.",4,5,5,5,6,Python,Web,0,None,SQL,High,13
"As a collection curator, I want to move items from one collection to another, so that items can be reassigned to the most appropriate collection.",3,3,3,6,4,Python,Web,0,None,SQL,Low,3
"As a repository admin, I want to expose repository contents via OAI-PMH, so that metadata can be harvested by external services.",3,4,4,7,5,Python,Web,0,None,SQL,Medium,8
"As a depositor, I want to get feedback post-ingest if files do not conform to format specifications, so that I can correct any issues before finalizing the submission.",3,3,3,8,4,Python,Web,0,None,SQL,Medium,3
"As a faculty member, I want to manage members of my classes in the repository dashboard, so that I can grant submission permissions and track student submissions easily.",3,4,3,9,5,Python,Web,0,None,SQL,Medium,3
"As a Digital Records Archivist, I want to edit the length of embargoes, so that restricted items can be made available at the appropriate time.",3,3,4,10,4,Python,Web,0,None,SQL,Low,5
"As a collection curator, I want to restrict access to my collection or items to Duke IP addresses, so that only authorized users can access certain materials.",3,3,4,11,4,Python,Web,0,None,SQL,Low,5
